"Part";"Value";"Device";"Package";"Description";"CURRENT";"DESCRIPTION";"HEIGHT";"INDUCTANCE";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MPN";"OC_FARNELL";"OC_NEWARK";"PN";"RS_PART_NUMBER";"RS_PRICE-STOCK";"TP_SIGNAL_NAME";"VALUE";"VOLATAGE";
"C21";"100p";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C22";"100p";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C23";"0.1u";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C24";"100p";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C25";"100p";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C26";"100p";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C27";"0.1u";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C28";"100p";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C29";"100p";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C30";"100p";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C31";"0.1u";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C32";"100p";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C33";"100p";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C34";"100p";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C35";"0.1u";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C36";"100p";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C37";"100p";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C38";"4.2p";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C39";"650p";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C40";"0.1u";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C41";"100p";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C42";"100p";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C43";"1.3p";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C44";"0.1u";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C45";"100p";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C46";"650p";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C47";"4.2p";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C48";"650p";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C49";"1.3p";"C-USC0603K";"C0603K";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
